 written on  2Jun2021 at 12:57:20 
  -2.6988037638089994        0.0000000000000000        2.6988037638089994     
   0.0000000000000000        2.6988037638089994        2.6988037638089994     
  -2.6988037638089994        2.6988037638089994        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    1    1   -0.86671953E-03  0.60161372E-10
    2    1    0.47172264E-03 -0.10489438E-03
    3    1    0.19273071E-02 -0.30579924E-03
    4    1   -0.49674918E-02  0.14081672E-02
    5    1   -0.66413348E-03 -0.19171177E-03
    6    1    0.11048019E-02  0.38391264E-04
    7    1    0.32484218E-02 -0.44965985E-03
    8    1   -0.27723243E-02 -0.20500932E-03
    1    2    0.82018059E-03  0.18237919E-03
    2    2   -0.86617324E-03 -0.40340897E-10
    3    2   -0.21789532E-02 -0.13406525E-03
    4    2   -0.35750180E-02  0.20552031E-03
    5    2   -0.23212666E-02 -0.12676017E-02
    6    2   -0.15007535E-02 -0.38887017E-03
    7    2    0.10646171E-01  0.86696375E-03
    8    2   -0.59049985E-02 -0.17789827E-02
    1    3    0.15311685E-02  0.24294525E-03
    2    3   -0.35741992E-02  0.21991161E-03
    3    3   -0.86614970E-03 -0.46086156E-11
    4    3   -0.21676263E-02  0.25889658E-03
    5    3   -0.17481997E-03 -0.81956102E-04
    6    3    0.25878673E-02  0.50331056E-03
    7    3    0.84041736E-03  0.16646670E-04
    8    3   -0.64777408E-03 -0.15247118E-03
    1    4   -0.25364151E-02 -0.71901399E-03
    2    4   -0.21794192E-02 -0.12529032E-03
    3    4   -0.35556639E-02 -0.42468058E-03
    4    4   -0.86619183E-03 -0.66639895E-10
    5    4    0.84312306E-03  0.52537707E-03
    6    4   -0.79993161E-03 -0.25709141E-03
    7    4    0.75117259E-04  0.10484480E-04
    8    4   -0.12669864E-02 -0.46254886E-03
    1    5    0.71508141E-02 -0.20641868E-02
    2    5    0.31428429E-02 -0.17162502E-02
    3    5    0.76388523E-02 -0.35811184E-02
    4    5    0.87808950E-02 -0.54716547E-02
    5    5   -0.50742042E-02  0.27185305E-09
    6    5    0.60510910E-02 -0.15212054E-02
    7    5    0.71217356E-03 -0.31682102E-03
    8    5    0.25107110E-02 -0.52782351E-03
    1    6    0.11048081E-02 -0.38391437E-04
    2    6   -0.18890201E-02  0.48947659E-03
    3    6    0.50682276E-02 -0.98571150E-03
    4    6   -0.46007330E-03  0.14786382E-03
    5    6   -0.29317241E-02 -0.73701636E-03
    6    6   -0.86671970E-03  0.45645675E-10
    7    6    0.35285925E-02 -0.61401173E-03
    8    6   -0.28127697E-02 -0.10997593E-03
    1    7    0.32484170E-02  0.44965888E-03
    2    7   -0.17654882E-01  0.14377135E-02
    3    7    0.48335182E-03 -0.95739519E-05
    4    7   -0.91265487E-02  0.12738432E-02
    5    7    0.24035384E-02  0.10692493E-02
    6    7    0.21509367E-02  0.37428543E-03
    7    7   -0.86672088E-03  0.10156730E-10
    8    7   -0.27180159E-02 -0.58320163E-03
    1    8   -0.12365124E-02  0.91437959E-04
    2    8    0.79640529E-02 -0.23993101E-02
    3    8   -0.61853574E-02  0.14558898E-02
    4    8   -0.31972224E-02  0.11672355E-02
    5    8   -0.11484455E-02 -0.24143637E-03
    6    8   -0.13879675E-02  0.54267560E-04
    7    8   -0.12123093E-02  0.26012384E-03
    8    8   -0.50741475E-02 -0.15602795E-09

   -4    1    1
    1    1   -0.58833797E-02 -0.73199388E-10
    2    1    0.11422271E-01 -0.25399129E-02
    3    1    0.19272792E-02 -0.30579482E-03
    4    1    0.11258282E-01 -0.31914582E-02
    5    1    0.79912046E-02  0.23067772E-02
    6    1   -0.35324952E-02 -0.12275197E-03
    7    1    0.27536312E-02 -0.38116889E-03
    8    1    0.10318690E-01  0.76305154E-03
    1    2   -0.25153833E-02 -0.55933300E-03
    2    2   -0.58824215E-02 -0.67372122E-10
    3    2   -0.21788695E-02 -0.13405981E-03
    4    2   -0.11297293E-02  0.64945647E-04
    5    2   -0.24591017E-01 -0.13428711E-01
    6    2    0.52436897E-02  0.13587267E-02
    7    2   -0.30590989E-02 -0.24911606E-03
    8    2    0.15889372E-01  0.47869479E-02
    1    3   -0.21229586E-02 -0.33684270E-03
    2    3    0.39620753E-02 -0.24377631E-03
    3    3   -0.58824248E-02  0.24333639E-09
    4    3    0.35092916E-02 -0.41914197E-03
    5    3    0.12581219E-02  0.58981128E-03
    6    3   -0.18700417E-02 -0.36370116E-03
    7    3   -0.35721280E-02 -0.70754928E-04
    8    3    0.34777637E-02  0.81858534E-03
    1    4    0.60028300E-02  0.17016614E-02
    2    4   -0.10329085E-01 -0.59379633E-03
    3    4    0.35214886E-02  0.42059802E-03
    4    4    0.74723326E-03  0.20598193E-10
    5    4   -0.58481309E-02 -0.36441561E-02
    6    4    0.34019251E-02  0.10933511E-02
    7    4   -0.27159537E-02 -0.37908045E-03
